Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6762659549713135	0	26.794872	15.189706	74.0	11.0	26.794871794871796	15.189705500393734	1045	1045
1.078685998916626	1	27.783783	14.309579	94.0	11.0	27.783783783783782	14.309579356454051	1028	2073
1.4672338962554932	2	31.363636	16.270103	90.0	9.0	31.363636363636363	16.270103055713143	1035	3108
1.8366408348083496	3	35.275864	15.489477	87.0	11.0	35.275862068965516	15.489477076999922	1023	4131
2.163437843322754	4	37.851852	16.460285	74.0	11.0	37.851851851851855	16.46028599657865	1022	5153
2.5095608234405518	5	34.8	19.92051	81.0	11.0	34.8	19.92050869497731	1044	6197
2.878912925720215	6	43.0	19.375671	87.0	15.0	43.0	19.375672031355887	1032	7229
3.4801487922668457	7	42.458332	16.67328	75.0	16.0	42.458333333333336	16.67327993793929	1019	8248
3.8928089141845703	8	46.636364	22.774677	118.0	20.0	46.63636363636363	22.77467783335745	1026	9274
4.250062942504883	9	51.2	23.498085	102.0	26.0	51.2	23.498085028359224	1024	10298
4.614804983139038	10	48.0	23.457891	123.0	19.0	48.0	23.457892643473482	1056	11354
5.00067400932312	11	63.27778	34.014385	160.0	22.0	63.27777777777778	34.01438511955976	1139	12493
5.333557844161987	12	47.761906	19.096008	93.0	25.0	47.76190476190476	19.09600995946227	1003	13496
5.660412788391113	13	53.842106	26.533522	136.0	28.0	53.8421052631579	26.53352032488386	1023	14519
6.006930828094482	14	56.263157	17.31699	87.0	31.0	56.26315789473684	17.31698924015056	1069	15588
6.334633827209473	15	53.736843	16.250805	86.0	27.0	53.73684210526316	16.250804369608286	1021	16609
6.66167688369751	16	54.526318	14.823057	95.0	25.0	54.526315789473685	14.823056084686137	1036	17645
7.012430906295776	17	55.35	21.67089	113.0	18.0	55.35	21.67089061390879	1107	18752
7.338775873184204	18	57.22222	27.109972	152.0	28.0	57.22222222222222	27.109972653692413	1030	19782
7.657610893249512	19	62.9375	27.051962	113.0	21.0	62.9375	27.051960996386196	1007	20789
7.9876508712768555	20	57.27778	16.53214	98.0	31.0	57.27777777777778	16.532142280873998	1031	21820
8.314589977264404	21	59.705883	22.53302	108.0	19.0	59.705882352941174	22.533020752252757	1015	22835
8.650765895843506	22	66.933334	33.171204	155.0	36.0	66.93333333333334	33.171205719552745	1004	23839
9.054947853088379	23	63.375	27.36301	128.0	30.0	63.375	27.363011073344982	1014	24853
9.469089984893799	24	60.0	19.778181	96.0	28.0	60.0	19.778181680534622	1020	25873
9.917399883270264	25	80.78571	39.384876	174.0	34.0	80.78571428571429	39.38487485503717	1131	27004
10.34463095664978	26	73.5	23.43913	115.0	44.0	73.5	23.43913089563811	1029	28033
10.761040925979614	27	72.21429	22.963259	111.0	39.0	72.21428571428571	22.9632581418621	1011	29044
11.155910015106201	28	72.42857	20.662989	106.0	33.0	72.42857142857143	20.662990675927563	1014	30058
11.566080808639526	29	61.944443	24.920925	126.0	25.0	61.94444444444444	24.92092432346366	1115	31173
11.98646593093872	30	72.92857	21.779623	114.0	37.0	72.92857142857143	21.779624441581323	1021	32194
12.39322280883789	31	73.71429	32.347286	146.0	41.0	73.71428571428571	32.34728642058728	1032	33226
12.828869819641113	32	71.53333	23.200191	117.0	42.0	71.53333333333333	23.200191570090297	1073	34299
13.183781862258911	33	96.0	45.473267	187.0	40.0	96.0	45.47326887104315	1056	35355
13.693947792053223	34	86.166664	33.263676	172.0	45.0	86.16666666666667	33.26367722038894	1034	36389
14.26993989944458	35	91.166664	43.613518	193.0	37.0	91.16666666666667	43.613517272617315	1094	37483
14.768532991409302	36	78.30769	29.015606	144.0	46.0	78.3076923076923	29.015604860898335	1018	38501
15.116560935974121	37	83.666664	42.344486	179.0	42.0	83.66666666666667	42.344486719708335	1004	39505
15.479909896850586	38	73.066666	35.66785	150.0	29.0	73.06666666666666	35.6678504476448	1096	40601
15.866456985473633	39	74.85714	35.201168	175.0	35.0	74.85714285714286	35.201171130796084	1048	41649
16.270057916641235	40	63.0	22.792543	97.0	23.0	63.0	22.792542640082964	1008	42657
16.677202939987183	41	84.61539	32.521088	163.0	33.0	84.61538461538461	32.52109010742333	1100	43757
17.070076942443848	42	96.454544	48.99418	189.0	29.0	96.45454545454545	48.994180797989834	1061	44818
17.46463394165039	43	87.416664	44.727802	200.0	29.0	87.41666666666667	44.72780330945047	1049	45867
17.803876876831055	44	84.5	30.30814	134.0	48.0	84.5	30.308139720763684	1014	46881
18.170771837234497	45	100.6	37.9663	169.0	48.0	100.6	37.9663008469353	1006	47887
18.58004879951477	46	116.7	51.32845	200.0	49.0	116.7	51.328452148881325	1167	49054
19.04763889312744	47	101.2	30.766216	151.0	51.0	101.2	30.766215236847053	1012	50066
19.443006992340088	48	145.0	36.09511	200.0	104.0	145.0	36.0951124510943	1015	51081
